n,InsertionSort,MergeSort,QuickSort
20000,0.242000,0.003000,0.003000
40000,0.778000,0.008000,0.005000
60000,1.715000,0.011000,0.009000
80000,2.980000,0.016000,0.010000
100000,4.899000,0.024000,0.017000
120000,8.256000,0.028000,0.023000
140000,11.650000,0.038000,0.026000
160000,14.725000,0.037000,0.030000
180000,18.282000,0.046000,0.034000
200000,22.287000,0.048000,0.035000
220000,26.736000,0.056000,0.041000
240000,32.236000,0.059000,0.048000
260000,37.994000,0.075000,0.048000
280000,43.249000,0.070000,0.049000
300000,50.693000,0.073000,0.053000
320000,57.011000,0.087000,0.061000
340000,65.049000,0.085000,0.066000
360000,72.641000,0.098000,0.073000
380000,81.901000,0.096000,0.071000
400000,82.771000,0.086000,0.059000
